artists,album_name,track_name,track_genre
Gen Hoshino,Comedy,Comedy,acoustic
Ben Woodward,Ghost (Acoustic),Ghost - Acoustic,acoustic
Ingrid Michaelson;ZAYN,To Begin Again,To Begin Again,acoustic
Kina Grannis,Crazy Rich Asians (Original Motion Picture Soundtrack),Can't Help Falling In Love,acoustic
Chord Overstreet,Hold On,Hold On,acoustic
Tyrone Wells,Days I Will Remember,Days I Will Remember,acoustic
A Great Big World;Christina Aguilera,Is There Anybody Out There?,Say Something,acoustic
Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,acoustic
Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,acoustic
